token_id,threshold,coverage,success,precision,status,total_count
2404,0.72,113,113,1.0,ok,459
2418,0.93,61,61,1.0,ok,481
2421,0.93,132,132,1.0,ok,2306
2455,0.72,206,206,1.0,ok,947
2464,,0,0,,fallback_no_valid_threshold,147
2469,0.81,81,81,1.0,ok,343
2473,0.7,107,107,1.0,ok,471
2474,0.7,95,95,1.0,ok,645
2478,0.65,153,153,1.0,ok,377
2490,0.46,554,554,1.0,ok,937
2514,0.54,134,134,1.0,ok,276
2516,,0,0,,fallback_no_valid_threshold,516
2524,0.47,60,60,1.0,ok,109
2528,0.67,536,536,1.0,ok,1779
2531,0.8,290,290,1.0,ok,1149
2536,0.86,5630,5630,1.0,ok,16243
2537,0.83,222,222,1.0,ok,605
2538,,0,0,,fallback_no_valid_threshold,310
2541,0.68,52,52,1.0,ok,211
2545,0.84,111,111,1.0,ok,427
2548,0.87,364,364,1.0,ok,1368
2550,,0,0,,fallback_no_valid_threshold,134
2552,0.7,267,267,1.0,ok,888
2555,,0,0,,fallback_no_valid_threshold,203
2556,0.57,65,65,1.0,ok,187
2585,0.76,1140,1140,1.0,ok,4157
2588,0.95,241,241,1.0,ok,567
2592,0.87,126,126,1.0,ok,637
2599,0.5,97,97,1.0,ok,236
2601,0.17,99,99,1.0,ok,106
2602,0.84,202,202,1.0,ok,895
2606,0.88,51,51,1.0,ok,218
2614,0.76,130,130,1.0,ok,500
2622,0.81,119,119,1.0,ok,398
2623,0.65,53,53,1.0,ok,233
2627,0.7,969,969,1.0,ok,2591
2636,0.74,159,159,1.0,ok,664
2644,0.52,53,53,1.0,ok,152
2645,0.74,954,954,1.0,ok,3081
2651,0.83,260,260,1.0,ok,1314
2659,0.86,63,63,1.0,ok,243
2684,0.44,62,62,1.0,ok,249
2686,0.66,71,71,1.0,ok,183
2694,0.92,5243,5243,1.0,ok,15437
2697,,0,0,,fallback_no_valid_threshold,180
2725,,0,0,,fallback_no_valid_threshold,299
2730,0.86,2677,2677,1.0,ok,15854
2743,0.7,88,88,1.0,ok,366
2747,0.96,1024,1024,1.0,ok,4537
2750,,0,0,,fallback_no_valid_threshold,426
2751,0.74,95,95,1.0,ok,397
2753,0.85,569,569,1.0,ok,2305
2762,0.7,203,203,1.0,ok,353
2763,0.7,351,351,1.0,ok,1312
2771,0.6,115,115,1.0,ok,478
2774,0.68,194,194,1.0,ok,561
2778,,0,0,,fallback_no_valid_threshold,205
2791,0.7,227,227,1.0,ok,452
2792,0.56,114,114,1.0,ok,232
2802,0.97,248,248,1.0,ok,1725
2818,0.77,62,62,1.0,ok,120
2824,0.7,644,644,1.0,ok,1985
2825,0.56,99,99,1.0,ok,218
2826,0.88,375,375,1.0,ok,1527
2846,,0,0,,fallback_no_valid_threshold,149
2856,0.67,296,296,1.0,ok,935
2877,,0,0,,fallback_no_valid_threshold,155
2901,,0,0,,fallback_no_valid_threshold,110
2914,0.68,714,714,1.0,ok,2187
2917,0.92,1960,1960,1.0,ok,11398
2942,0.8,69,69,1.0,ok,272
2948,0.81,290,290,1.0,ok,1778
2952,0.43,170,170,1.0,ok,543
2954,0.88,406,406,1.0,ok,4293
2964,0.99,9877,9877,1.0,ok,38721
2971,1.0,29575,29575,1.0,ok,189403
2986,0.45,84,84,1.0,ok,134
2993,0.88,3519,3519,1.0,ok,16702
3009,0.48,274,274,1.0,ok,818
