token_id,count,mean,p05,p10,p15,p25,p50,p75,min_conf,max_conf
28,30,0.8481119791666667,0.6101562500000001,0.7015625,0.70859375,0.7607421875,0.88671875,0.9375,0.349609375,1.0
4680,30,0.8244140625,0.50673828125,0.5859375,0.6185546875,0.69921875,0.88671875,1.0,0.3359375,1.0
700,30,0.8903645833333333,0.7453125,0.757421875,0.7724609375,0.8046875,0.87109375,1.0,0.6640625,1.0
4396,30,0.7361979166666667,0.53125,0.5453125,0.5591796875,0.62109375,0.6953125,0.876953125,0.45703125,1.0
4278,30,0.7891276041666667,0.38857421875,0.4724609375,0.5873046875,0.6328125,0.82421875,0.9609375,0.34375,1.0
1035,30,0.7596354166666667,0.32216796875000003,0.3822265625,0.5380859374999999,0.73046875,0.8125,0.8955078125,0.248046875,1.0
58,29,0.6817753232758621,0.41015625,0.487890625,0.515625,0.52734375,0.6015625,1.0,0.3359375,1.0
13041,29,0.8527747844827587,0.474609375,0.61875,0.65703125,0.7421875,0.953125,1.0,0.361328125,1.0
3753,29,0.8251616379310345,0.5300781250000001,0.6171875,0.64453125,0.71875,0.89453125,0.9609375,0.314453125,1.0
16327,29,0.9296875,0.8390625,0.84375,0.8515625,0.8515625,1.0,1.0,0.8359375,1.0
3123,29,0.8450969827586207,0.44257812500000004,0.60390625,0.65546875,0.75390625,0.953125,1.0,0.283203125,1.0
281,29,0.9810075431034483,0.8640625,0.9500000000000001,0.965625,1.0,1.0,1.0,0.80078125,1.0
1988,29,0.41908001077586204,0.18046875,0.181640625,0.1830078125,0.1884765625,0.38671875,0.5078125,0.1767578125,1.0
7014,28,0.9049944196428571,0.573046875,0.6546875,0.7212890625,0.8876953125,0.970703125,1.0,0.4453125,1.0
1455,28,0.982421875,0.8994140625,0.996484375,1.0,1.0,1.0,1.0,0.66796875,1.0
3040,28,0.9019252232142857,0.570703125,0.6433593750000001,0.7048828125,0.849609375,1.0,1.0,0.484375,1.0
16340,28,0.5403529575892857,0.240283203125,0.2435546875,0.24521484375,0.251953125,0.470703125,0.8515625,0.232421875,1.0
1685,28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3110,28,0.9581473214285714,0.9181640625,0.92578125,0.92578125,0.92578125,1.0,1.0,0.359375,1.0
5711,28,0.7250627790178571,0.34951171875,0.3765625,0.47080078125,0.5263671875,0.826171875,0.9130859375,0.2314453125,0.96875
1781,28,0.7678571428571429,0.4669921875,0.5416015625,0.58203125,0.5859375,0.814453125,1.0,0.40234375,1.0
6733,28,0.9285714285714286,0.47890625,0.8230468750000001,0.9533203125,0.9609375,1.0,1.0,0.30078125,1.0
